nombre,telefono,mail,web,referentes
Asociación de Profesionales Uruguayos en Gestión Humana,2401 0978,info@adpugh.org.uy,http://www.adpugh.org.uy,Sebastián Torterolo| Daniel Paredes| Alejandro Lema
Asociación de Química y Farmacia del Uruguay,2900 6340|2903 0711,info@aqfu.org.uy,http://www.aqfu.org.u,Virginia Olmos| Presidenta| Carolina Prandi| Vicepresidenta
Asociación de Psicopatologìa y Psiquiatría de la Infancia y la Adolescencia,2709 3219,appia2013@adinet.com.uy,http://appia.blogia.com,Julia Ojeda de Prego| Presidenta| Soledad Cabrera| Secretaria General
Asociación de Retirados y Pensionistas Militares de Salto,44732 5460 | 733 7867,arypms@hotmail.com,,
Asociación de Pasivos de Casupa,4311 2157,,,
Asociación de Profesores de Física del Uruguay,2401 2071,apfu@adinet.com.uy,http://apfu.fisica.edu.uy/,Eduardo Bonda| Presidente| Gustavo González| Vicepresidente| Leonardo Machín| Marco Pereira y Verónica La Luz| Vocales
Asociación de Pensionistas y Jubilados de Rivera,4622 6602,,,Roberto Castro| Presidente| Rosa Santos| Secretaria| Maribel Rodríguez| integrante Comisión Directiva
Asociación de Secretarias del Uruguay,2900 7554,info@adesu.org.uy,http://www.adesu.org.uy/,Andrea Caballero - Presidenta| Adriana Costa - Vicepresidenta| Marina Robaina – Secretaria
Asociación de Retirados Militares,4362 7919,,http://www.srpffaa.gub.uy/,
Asociación de Trabajadores Civiles de los Diques del Estado,23138395,atcde@vera.com.uy,http://diquesdelestado.wix.com/atcde,José Alvite| Secretario| Pablo Gutiérrez| Fernando Malespina
Asociación de Supermercados del Uruguay,2606 2134,asosuper@gmail.com,http://asu.org.uy,Eduardo Cardoso| Presidente| Hugo Avegno| Secretario / Tesorero| Washington Villot| Gerente General
Asociación de Retirados y Pensionistas de las Fuerzas Armadas,4562 4113,,,Héctor González| Aldo Giménez
Asociación de Sordos del Uruguay,2305 4218 | 2308 3212,asur1928@gmail.com,http://www.sordos.org.uy/ASUR/ASUR.html,
Asociación de Sordos de Maldonado,,,,Diego Duret| Presidente
Asociación de Técnicos Universitarios en Administración del Uruguay,2902 5403,secretaria@atuadu.org,http://www.atuadu.org,Daniel Reboredo| Presidente| Alba Luz Moreira| Secretaria
Asociación de Rentistas y Pensionistas Vitalicios del Banco de Seguros del Estado,2900 5929,areipe@hotmail.com,,
Asociación de Sordociegos del Uruguay,2215 4543 | 2506 1094 | 094383578,enriquera60@gmail.com,,Laura Espíndola| Presidente| Enrique Martínez| Vicpresidente| Carlos Pizarro| Secretario
Asociación de Sordos de Salto,4732 2223,assalto2012@hotmail.com,http://www.facebook.com/AsociacionDeSordosSalto,Oscar Viana| Presidente
Asociación de Servicios y Apoyo a la Comunidad - Centro CAIF Mi Casita,2915 0790,micasitaciudadvieja@gmail.com,,
Asociación de Universidades Grupo Montevideo,2400 5401,secretariaejecutiva@grupomontevideo.org,http://www.grupomontevideo.edu.uy,Ana Castro| Representante por Uruguay
Asociación de Uruguayos en Chile| Consejo Consultivo de Santiago,,cconsultivo@gmail.com,http://www.consejoconsultivo.cl,
Asociación Departamental Pro Recuperacion del Niño Lisiado de Colonia,4522 2697,vthove@adinet.com.uy,,Valdo Thove| Presidente| Cristina López| Secretaria| Aída Elicabe| Tesorera
Asociación del Personal de Médica Uruguaya,2480 5347,,,
Asociación de Trabajadores de Enseñanza Secundaria,2916 5373,ates1984@hotmail.com,,Graciela Maneiro
Asociación Diabéticos Salto,4734 0560 | 097400037,adisalto@adinet.com.uy,,Ana Balbi
Asociación Deportiva de Integración Colegial,2901 3508 | 2902 8679,admin@adic.org.uy,http://www.adic.org.uy,
Asociación de Vecinos Ideario Artiguista,91471209,avia.idearioartiguista@gmail.com,,Fernando De Luccas| Claudio Fernando Jorio| Julio Cesar Lista
Asociación de Teatros del Interior,,,http://Facebook www.facebook.com/teatrointerioruruguay/,Jorge Gallero| Presidente (por Grupo Eslabón)| Mercedes Rusch| Secretaria General
Asociación de Vecinos del Barrio Maracaná 90 - Centro CAIF Maracanitos,2313 1375,caifmaracanitos@gmail.com,,
Asociación de Trabajadores de Televisión Nacional,19595 interno 353,a.t.t.n.canal5@gmail.com,http://attncanal5.blogspot.com | www.facebook.com/attn.cofe,Danubio Trujillo| Presidente| Laura Piriz| Secretaria General
Asociación del Comercio Automotor del Uruguay,2916 4440,info@acau.com.uy,http://www.acau.com.u,Miguel del Castillo| Presidente| Gustavo Quartino| Vicepresidente| Fernando Arrieta| Secretario
Asociación de Trasplantados del Uruguay,2410 8003,info@trasplantados.org.uy,http://www.trasplantados.org.uy,
Asociación del Pádel del Uruguay / Asociación de Amigos del Pádel,Celular: 094 238 783,organizacionpadeluru@yahoo.com.ar,http://www.padel.com.uy/,
Asociación de Trabajadores de la Seguridad Social,2400 1922|2402 3967|2409 7606|Fax interno 111,atss@adinet.com.uy,http://www.atss.org.uy,Henry Rocha| Delegado.
Asociación de Trabajadores de Meteorología Nacional,098645095 | 098665856,atmn95@gmail.com,http://atmnuy.blogspot.com,Cristina Mathisson| Presidenta| Ian Schou| Secretario General| Camilo Alvaro| Comisión Desarrollo Productivo
Asociación de Voluntarios Uruguayos de Sangre,099672250,lasangreceleste@avus.uy,http://www.avus.uy,Gustavo D. Amado - Presidente| Amanda Sandé - Secretaria Gral.| Carlos Rodriguez - Tesorero
Asociación Down de Las Piedras,4365 7167 | 2364 7349,,,
Asociación Down de Artigas,4773 2815 | 4772 3573,adartigas@adinet.com.uy,,
Asociación Discapacitados Independientes| Tercera Edad y otros en Comunidad,2208 5444,ditecuruguay2002@gmail.com,http://www.ditecuruguay.org,Martha Giménez Torres| Presidenta| Ana María Ramírez| Vicepresidenta| Inés Franco| Secretaria
Asociación El Nido - Centro CAIF El Nido,4367 9750 | 091751990,caifelnido@hotmail.com,,
Asociación Down del Uruguay,29243908,info@downuruguay.org,http://www.downuruguay.org,Nidia Viña - Presidenta| Bruna Berterretche - Vice presidenta| Eloisa Camejo - Secretaria
Asociación Dravet Uruguay,099699882 | 098396509,draveturuguay@gmail.com,http://www.facebook.com/Asociación-Dravet-Uruguay,
Asociación Empleados de COMEPA,472 28 946,aeco@adinet.com.uy,,Sara Murieola| Presidente| Fabiana Silva| Secretaria| Alejandra Romero| Administrativa
Asociación Diplomática de Ayuda,2603 6035,direccion.ada.uruguay@gmail.com,http://www.ada-uruguay.org,
Asociación Down de Soriano,4532 9354 | 4532 6307,rosadutra1958@hotmail.com,,Rosa Dutra| Ivonne Cavare
Asociación Down de Maldonado,099983273,evagonpunta@hotmail.com,,
Asociación Down de Rivera,4623 2060,,,
Asociación Discapacitados de Cerro Chato,98061429,marieleg_2006@yahoo.com.ar,,Mariel Eguren| Presidenta| Marisa Techera| Tesorera| Alba Ramos| Secretaria
Asociación Fomento Rural de Lascano,4456 9162,afrlascano@adinet.com.uy,,
Asociación Down de San José,4342 6018,asociaciondownsanjose@gmail.com,,Zully Domínguez| Directora| Dalton Monge| Trabajador Social
Asociación Down de Salto,098817432 | 098716319 | 099744833 | 4733 1003,asdownsalto@adinet.com.uy,http://asdownsaluru.blogspot.com,Malena Chaniz
Asociación Fomento Los Bulevares,2313 5074,,,
Asociación Hermanas de la Caridad San Vicente de Paul - Centro CAIF Santa Rita,2215 4596,srita2014@montevideo.com.uy,,
Asociación Down de Río Negro,04567 3550 | 4567 4298,dasport@adinet.com.uy,,Daniel Porro| Cristina Ducan
Asociación Fomento Vecinal Cuchilla Alta,4378 9486,,http://cuchillaalta.org,Carlos Piccozzi| Presidente| Norma Rodríguez| Norma Rodríguez| Carlos Rodríguez Vivián| Relaciones Públicas y Prensa
Asociación Gnóstica de Estudios Antropológicos y Culturales del Uruguay,2418 6015,gnosisapol@hotmail.com,http://www.gnosisuruguay.com | Facebook /gnosisenuruguay,Aureliano Calleriza| Director
Asociación Gastronómica del Uruguay,,agastronomicadeluruguay@gmail.com,http://www.facebook.com/aguruguay,Marcela Baruch| Andrea Celsi
Asociación Familia Piamontesa,4558 8017 | 4558 8843,fampiamcolonia@hotmail.com,,Marta Geymonat Silva| Presidente| Claudio Costabel| Secretario
Asociación Gestáltica del Uruguay,2402 5446 | 098 225 990,,http://www.agu.com.uy,Adriahna Hosner| Presidenta| Silvia Vila| Vicepresidenta| Karen Terra| Secretaria
Asociación General de Autores del Uruguay,2900 3188,agadu@agadu.org,http://www.agadu.com.uy,Alexis Buenseñor| Presidente| Gustavo Vignoli| Director General
Asociación Franco Uruguaya de Bearneses,094425526; 099365454; 094450191,afubsecretaria@afubuy.com,http://www.afubuy.com/,Mercedes Supervielle| Presidenta| Dario Bajac Massone| Vicepresidente| Sergio Posada Ricouté| Secretario
Asociación Funcionarios de ASSE,2916 8837,afasse1997@Gmail.com,http://afasse.blogspot.com,Amelia Da Cuña
Asociación Funcionarios de Secretaría del Ministerio de Transporte y Obras Públicas,2915 7933,afusec@vera.com.uy,http://afusec.wordpress.com,Fabian Rodriguez - Presidente| Silvia Barbero - Secretaria| Gabriel Sosa - Tesorero
Asociación Jubilados y Pensionistas de la Industria y Comercio y Servicios Públicos (Filial Constitución),4764 2084,,,
Asociación Jubilados| Pensionistas y Amigos de Florencio Sánchez| Cardona y Zonas de Influencia,45367700 | 45367958 | 45369488 | 099338903,,,
Asociación Formadores Docentes en Educación Ambiental,4266 4538 | 4266 3494,afdeaong@gmail.com,,Ariel Mora| Presidente| Gladys Berretta| Secretaria
Asociación Internacional de Ex Becarios en el Exterior,+5491140352826,hq@aibex.eu,http://www.aibex.eu,Alfredo N. Baccino| Secretario General
Asociación Inspectores de Trabajo del Uruguay,1928 | 29152020 interno 1550,inspectoresdetrabajo@adinet.com.uy,http://www.aitu.com.uy,Pedro Osuna| Presidente| Myriam Areco| Secretaria| Graciela Patrone| Tesorera
Asociación Fomento Rural de Valentín,4733 2110 | 4733 27083,aasalto@adinet.com.uy,,Martín Bortagaray| Presidente
Asociación Fomento y Desarrollo de Pueblo Aznárez,4370 7066,aliciagut2@hotmail.com,http://www.gregorioaznarezunlugardiferente.com.uy,Carlos Cancela| Presidente| Raquel Martínez| Secretaria| Luz María Espinosa
Asociación Internacional de Discapacitados Visuales Rivera - Livramento,4623 7420,enimello42@gmail.com,,Eduardo Balsemau| Presidente| Enilda Mello| Secretaria| Beatriz Cola| Prosecretaria
Asociación Honoraria de Salvamento Marítimo y Fluvial,1767 SOS,,http://www.ades.org.uy,Guillermo Pérez Lavagnini| Presidente| Jorge Natalevich| Vicepresidente| Gaspar Barrabino| Secretario
Asociación Jubilados y Pensionistas de la Caja de Jubilaciones y Pensiones de la Industria y Comercio,4732 9740 | 4733 5204 | 4732 2622,,,
Asociación Histórica de Las Piedras,94848849,ah1744@gmail.com,http://Facebook: Asociación Histórica de Las Piedras,Esc. Freddy González Araújo| Presidente| Lorena Piñeyro| Secretaria| Raúl D. Cheda| Tesorero
Asociación Jubilados y Pensionistas de Tacuarembó,46332414,,,
Asociación Nacional de AFAP,2400 1065,info@anafap.uy,,Dolores Benavente - Presidenta
Asociación HHT Uruguay,099591550 | 094249791,contacto@hhturuguay.com.uy,http://www.hhturuguay.com.uy,
Asociación Museo y Casa de la Cultura de la ciudad de Tranqueras,4656 2185 | 099310560,mcctranqueras@hotmail.com,http://promcc.blogspot.com,Pedro Silva y Verde| Presidente| Inés Lechini| Vicepesidente| Paulo Arriola| Secretario General
Asociación Hogar de Ancianos de Santa Lucía,4334 6210 | 4334 7761,,,
Asociación Isla Cabellos - Centro CAIF Cabellitos,4776 2538,caifcabellitos@hotmail.com,,Domingo Rodriguez
Asociación Misioneros Padres Palotinos,2901 0165,centrolourdes@adinet.com.uy,,
Asociación Memoria de la Resistencia 1973 - 1985,,,http://www.memoria.org.uy,
Asociación Honoraria Fibrosis Quística del Uruguay,,ahfqu@montevideo.com.uy,http://www.fqdeluruguay.org | www.facebook.com/asociacion.fibrosisquistica,
Asociación Nacional Asistencia Integral a la Familia,4342 5590,,,Mariana Albo| Coordinadora| Nelva Martiniena| Supervisora del Programa| Julio Alexandre
Asociación Naturopática del Uruguay.,2408 9165 | 099277199,asociacionnaturopatica@montevideo.com.uy,http://www.anthu.org.uy,Patricia Sobrado| Presidenta| Mercedes Aparicio| Vicepresidenta| Elizabeth Reyes Álvarez| Secretaria
Asociación Latinoamericana Gente que Avanza,24812646,asociacion@gentequeavanza.org,http://www.gentequeavanza.org,Ismar Villavicencio - Responsable Legal| Sandra Regina de Lima - Coordinadora Pedagógica| Romeo Castañeda - Coordinador
Asociación Lucha Contra la Obesidad,2908 0836,directiva.alco@gmail.com,http://alcouruguay.org,Nelly Lucas| Presidenta
Asociación Nativista Valle del Aiguá,99846723,,,Gustavo de Armas| Presidente| Sergio Fernández| Vicepresidente| Alfredo Araujo| Secretario
Asociación María de América,2400 2623,marideamerica@gmail.com,,Beatriz de los Campos| Directora| Raquel Ayala| Coordinadora| Agueda Fayab| Tesorera
Asociación Nacional para el Niño Lisiado - Escuela Franklin Delano Roosvelt,2309 7600 | 2308 5125,asnili@adinet.com.uy,http://www.escuelaroosevelt.org,Jorge Mautone| Presidente| Beatriz Fastoso| Directora
Asociación Mundial de Radios Comunitarias de Uruguay,2902 1236,mesanacional@amarcuruguay.org,http://sitio.amarcuruguay.org,Belén Itza de Radio Vilardevoz| Omar Albornoz de General Artigas FM (Toledo-Canelones)| miembro de la Mesa Central.
Asociación Nacional Doulas del Uruguay,099059575 – 091333422,andouruguay@gmail.com,http://www.facebook.com/groups/587804694577310/?fref=ts (Doulas Unidas),"Alejandra Di Matteo - Presidente Comisión Directiva
Coordinadora Doulas Ciudad de la Costa| Rosa Rinaldi - Directora Comisión Fiscal
Coordinadora Área Doulas Comunitarias"
Asociación Nacional Pro Niño con Retardo Mental,2408 4132,anr-tcp@outlook.com,,Nilda Rama| Presidenta| Margarita Vidal| Secretaria| Sergio Orgoroso| Coordinador
Asociación Nacional de Guardavidas del Uruguay,,contacto@anguruguay.org,http://www.anguruguay.org,Nelson Clavera| Presidente
Asociación Nacional de Jubilados de la Universidad de la República,2400 4235 | 2401 7864,,,
Asociación Martín Echegoyen del Pino,4562 2174,asociacionmartin@adinet.com.uy,,Olga Sosa | Presidenta| Graciela del Pino| Secretaria Ejecutiva
Asociación Pro Asistencia Integral del Anciano,4222 1173 | 4225 1285 | 4222 6275,,,
Asociación Nacional de Empresas Recuperadas por sus Trabajadores,,autogestioncomunicacion@gmail.com,http://www.facebook.com/pages/ANERT/457688271055619?sk=info&tab=page_info,
Asociación por Nuestros Hijos - Soriano,,aso-civ-pnhs@hotmail.com,,María del Carmen Rodríguez| Presidenta| Marta Braña| Secretaria
Asociación Pequeña Obra de la Divina Providencia- Cottolengo Don Orione Masculino,2359 3349,cottolengomasculino@gmail.com,http://www.cottolengomasculino.org.uy,Roberto Anonis| Padre Director| Gari Roskopf| Administración| Bernardo Laventure| Recursos Humanos
Asociación Pobres Siervos de la Divina Providencia - Obra Don Calabria,2355 6244 | 2357 7879,caifdoncalabria@gmail.com,,
Asociación Pro Acervo Histórico,4558 9440 | 099142915,proacervohistorico@gmail.com,,Alberto Ackermann
Asociación Pandense de Ayuda a la Niñez - Centro CAIF Las Estrellitas,4292 2870,,,
Asociación Nacional de Productores de Leche,2924 6137 | 098 926 685 | 099 610 431,institucional@anpl.org.uy,http://www.anpl.org.uy,Eduardo Viera Magliano| Presidente| Walter Frisch Ferrando| Vicepresidente| Rodolfo Braga Carlini| Secretario
Asociación Palmares Uruguay,26192823,palmaresuruguay@gmail.com,http://eladultomayor.simplesite.com,Zully Galilea| socióloga| Emma Saracho| directora de proyectos| Gabriela López| directora del área del adulto mayor
Asociación Olivícola del Uruguay,,,http://www.asolur.org.uy,Carmen Gomensoro| Presidente| Carlos Franchi| VicePresidente| Alberto Peverelli| Secretario
Asociación Nacional de Rehabilitación Ecuestre Dr. Carlos Barboza Pereira,23214897,anre@adinet.com.uy,http://www.acaballo.com.uy,Dr. Nestor Nieves
Asociación Psicoanalítica del Uruguay,2410 7418,,http://apuruguay.org/,Javier García| Presidente| Amelia Mas Carcavallo| Secretaria
Asociación Protectora de Animales - El Refugio,,adopcioneselrefugio@gmail.com,http://www.apaelrefugio.org,
Asociación Profesores de Literatura del Uruguay,2403 6506,aplu1992@gmail.com,http://www.aplu.org.uy,Estela Castelao| Presidenta| Álvaro Revello| Secretario
Asociación Procardias,2410 1792 | Fax: 2411 5050,procardias@hotmail.com,http://www.procardias.org.uy,Jorge Opizzo| Presidente| Mario Genta| Secretario| Julia Massey| Dirección Técnica
Asociación Pro-Desarrollo de Caraguatá,4630 9019,comisionprodesarrollo.caraguata@hotmail.com,,Mario Madera| Presidente| Catti Sanchez| Secretaria
Asociación Pro Hogar de Ancianos Lascano,4456 9696,,,Dardo Ojeda| Presidente| Orlando Alío| Vicepresidente| Carlos Carnale| Secretario
Asociación Pro Recuperación del Inválido,2208 2881,apri@internet.com.uy,http://apri.negocio.site/?m=true,Graciela Reiris (coordinadora)
Asociación Odontológica Uruguaya,2900 1572,contactoaou@aou.org.uy,http://www.aou.org.uy,Alvaro Roda| Presidente| José Luis Costa| Vicepresidente
Asociación Nacional de Rematadores| Tasadores y Corredores Inmobiliarios,2901 7366,informes@anrci.com.uy,http://www.anrtci.org/,Eduardo Héctor Franchi Soria| Presidente
Asociación Pro Hogar de Ancianos de San José,4342 2730,,,
Asociación Pasivos de Castillos,4472 5085,,,
Asociación para Personas con Enfermedades Cerebro-Vasculares.,099588680; 098549971,apecvinfo@gmail.com,http://www.apecv.org,Gabriela Suárez| Presidenta
Asociación Pro Biodiversidad de Maldonaldo,,aprobioma@gmail.com,http://aprobioma.wordpress.com,
Asociación Pro Hogar de Ancianos Dr. Luis Mazza,4522 4854,,,
Asociación Pro Ayuda al Discapacitado con Parálisis Cerebral,4222 2579,analaura1411@outlook.com,,Ana Laura Gadea
Asociación Pro Discapacitado Intelectual,2600 5429 | 099926540,aprodi2002@gmail.com,,
Asociación Rural de Zapicán,,patriaydemocracia61@hotmail.com,,
Asociación Oceanográfica Uruguaya,015227070065,asociacionoceanogrficauruguaya@yahoo.es,http://asociacionoceanograficauruguaya.wordpress.com/,Dr. Marcos Sommer (Vicepresidente)| Dr. Fernando Amestoy (C.Fiscal)| MSc. Mario Batelles (Presidente)
Asociación Pro Bienestar del Anciano de Sarandi Grande,4354 9578,,,
Asociación Oceanográfica Uruguaya,2525 8618 int. 150,asociacionoceanograficauruguaya@yahoo.es,http://asociacionoceanograficauruguaya.wordpress.com,Mario Batalles - Presidente| Marcos Sommer - Vicepresidente| Rodolfo Vögler Santos - Secretario
Asociación Pro Discapacitado Mental Bárbara Inhelder,4722 0090,aprodime@adinet.com.uy,http://www.aprodimepaysandu.com,
Asociación Rural de Tacuarembó,4632 2295 | 4632 2582,asociacionruraltbo@adinet.com.uy,,
Asociación Pro Ayuda del Centro de Recuperación de Paralíticos Cerebrales - Escuela Horizonte,2308 9191 | 2309 6572,escuelahorizonte1@gmail.com,http://www.escuelahorizonte.com.uy,Gastón Cernicchiaro| Presidente| Álvaro Crosignani| Secretario| Eduardo Zeballos| Coordinador General
Asociación Rural de Jóvenes,2902 0484 | 2902 0486 | Fax: 2902 0489,arujovenes@gmail.com,http://www.aru.com.uy | arju - arjuuy.blogspot.com,Cecilia Ojeda Arburúa| Presidenta| Lucía Briano Berrutti| Secretaria| Felipe Freire| Pro Secretario
Asociación Rural de Soriano,4532 2287 | 4532 0705,ars@adinet.com.uy,,Luis Manuel Irastorza| Presidente| Juan José Dubourdieu | Secretario
Asociación Rural de Minas de Corrales,4650 8206,,,Edgard Camacho
Asociación Rural de San José,4342 3526,ruralsanjose@gmail.com,http://www.ruralsanjose.org,Andrés Aparicio Camy Macchiavello| Presidente| Pedro Daniel Bidegain Arrocha| Vicepresidente| Agustín Álvarez Pons| Secretario
Asociación Rural Batlle y Ordónez y Nico Pérez,95902752,aruralnicobatlle@gmail.com,,Marcelo Giudicce| Sylvia Aramendi
Asociación Rodriguense de Ayuda al Anciano e Impedido,2902 7587,,,
Asociación Rural de Paso de los Toros,4664 2328,arptoros@hotmail.com,,
Asociación Ronald Mac Donald Uruguay,29044924 - 099209656,contactenos@casaronald.org.uy,http://www.casaronald.org.uy,Ricardo Méndez| Presidente| Virginia Brause| Secretaria| Valeria Horta| Tesorera
Asociación Trans del Uruguay,2411 1335,atru2006@yahoo.com.ar,,
Asociación Turner Uruguay,4352 4466 I 095919380,turneruruguay@hotmail.com,http://turneruruguay.wordpress.com,Viviana Pérez| Presidenta| Alberto Silva| Secretario
Asociacion Social y Cultural Antonio Gramsci,097097504,Casaybibliotecaascag@gmail.com,,Walter Bianchi Presidente| Facundo Repetto Secretario| Luisa Vassile consejo directivo
Asociación Rural de Florida,4352 2326 fax int. 18,aruralf@adinet.com.uy,http://www.arf.org.uy,
Asociación Síndrome VR (Von Recklinghausen) Neurofibromatosis,2356 0205 | 2512 0102,san93937@hotmail.com,,Sandra Noé| Presidenta
Asociación Todos Unidos Enfermedades Raras Uruguay,2522 7328,consultasMSC@atueru.org.uy,http://atueru.org.uy,María Inés Fonseca| Presidenta| Ninel Firppo| Vice Presidenta| Alejandra Taborda| Secretaria
Asociación Sensibilidad Central Uruguay,99985512,ascur2014@gmail.com,http://www.facebook.com/events/507679362701969/,Laura Urrutia| Presidenta| Nancy Alpuín Soulier| Andrea Carnota
Asociación Sindrome de Down de Paysandú,4723 4788,asdopay@adinet.com.uy,http://www.asdopay.blogspot.com,Mario Lopardo| Presidente| Nancy Marquez| Directora
Asociación Sanducera de Jubilados y Pensionistas Civiles| de la Industria y Comercio| Rurales y Afines,4723 0414,,,
Asociación Sindrome de Prader Willi,2522 7328,prader.willi.uy@gmail.com,http://prader-willi.ning.com/group/uruguay,María Inés Fonseca| Presidente
Asociación Sanducera de Apoyo a la Ancianidad,4722 4841,,,Alicia Leites de Caraccio| Presidenta
Asociación Sindrome X Frágil Uruguay,099 643 302,xfragil@xfragil.org.uy,http://www.facebook.com/Sindrome.X.Fragil.Uruguay/info,
Asociación Tacuaremboense del Trastorno del Espectro Autista,46344965,atatea.uy@gmail.com,http://web.facebook.com/atatea2014/,Monica Suárez (Secretaria)| Ana López (Presidenta)
Asociación Rural de Reboledo,4311 2315,,,Ricardo García Pintos| Presidente| José Vera| Vicepresidente| Héctor Pelfort| Secretario
Asociación Rural Sexto de Rocha,4456 9696 | 099117842,artigas.moreno@gmail.com,,Artigas Moreno| Margot Bobadilla
Asociación Uruguaya de Animadores y Auxiliares Gerontológicos,2900 9637,aguedarestaino@hotmail.com,http://audaag2004.obolog.es,Agueda Restaino| Coordinadora
Asociación Uruguaya de Artesanos,2901 83 55,auda@adinet.com.uy,http://www.mercadodelosartesanos.com.uy,Cecilia Pintos| Presidenta| Claudia López| Vicepresidenta| Adriana Pintos| Secretaria
Asociación Uruguaya de Arquitectura de Paisaje,,,http://audadp.org.uy,Rafael Dodera| Presidente| Ana Vallarino| Vicepresidenta| Arquimedes Manta| Secretaria
Asociación Uruguaya de Árbitros de Fútbol,,,http://www.audaf.com.uy/,Martin Vázquez| Presidente
Asociación Uruguaya de Archivólogos,,aua@montevideo.com.uy,http://www.aua.org.uy,Gabriel Queijo| Presidente| Cecilia Gobbi| Vicepresidenta| Fabián Hernández| Secretario
Asociación Uruguaya de Alzheimer y Similares,2400 8797,audasur@gmail.com,http://audas.org.uy/ |,Victoria Repiso - Presidenta| Silvia Serrentino - Secretaria| Irma Stalker - Tesorera
Asociación Uruguaya Amigos del Riel,2916 4597 | 2916 6133,,http://lfu1.tripod.com/AUAR.html,
Asociación Uruguaya de Agencias de Publicidad,2402 2552 | 2402 3805,gerencia@audap.com.uy,http://www.audap.com.uy,Emir Cámara| Presidente| Silvana Saavedra| Gerenta
Asociación Uruguaya Catalana Solsona - Taller Los Molinos,2305 3619 | 22090094,losmolinos@movinet.com.uy,,
Asociación Uruguaya de Alzheimer y Similares - Filial Salto,4733 4713 | 094858557,manecruse@adinet.com.uy,,Mafalda Cruz
Asociación Uruguaya de Agencias de Viajes,2901 2326,audavi@audavi.com.uy,http://www.audavi.com.uy,Jorge Armando Valenti| Presidente (Agencia SIUR)| Carlos Pera| Vicepresidente (Aeromundo Internacional)
Asociación Síndrome de Down de la Costa,2698 8553 | 09486 3083 | 09958 0417,asocdowndelacosta@adinet.com.uy,http://www.asidco.blogspot.com,Benildo Barboza| Pesidente| Marcela Niz| Secretaria
Asociación Rural del Uruguay,2902 0484 |2902 0486 | Fax: 2902 0489,,http://www.aru.com.uy,Rubén Echeverría| Presidente| Gerardo García Pintos| Vicepresidente| Gonzalo Gambetta| Secretario
Asociación Unión Pro-Guardería Infantil - Centro CAIF Koster y 33 Orientales,4532 9299,caifkoster@gmail.com,,Cristina Maneiro| Coordinadora
Asociación Uruguaya de Acústica,,asuracustica@gmail.com,http://www.asuracustica.org/,Elizabeth González| Presidenta| Ismael Núñez| Vicepresidente| Marcos Lisboa| Secretario
Asociación Retos al Sur,+598 2 914 7880,comunicacion@retosalsur.org,http://retosalsur.org,Roberto Casaccia
Asociación Unidos Equinoterapia,47335928,sugruning@hotmail.com,,"Susana Grüning - Directora Centro nº17 Equinoterapia| Juan José Villamo - Presidente Asociación Unidos| Antonella Álvarez - Secretaria
Inés Godoy . Vice presidente
Virginia Direnna - Tesorera"
Asociación Uruguaya de Educación Católica,2409 9899 | 2409 4412,direccion@audec.edu.uy,http://www.audec.edu.uy,Marcelo Fontona| Director Nacional| Laura Guisado| Subdirectora
Asociación Rochense de Artesanos,4472 4053- 099887893.,ardarocha@adinet.com.uy,http://www.ardarocha.com,Ruben Rodriguez| Presidente| Nestor del Pino| Vicepresidente| Soraya de León| Secretario
Asociación Uruguaya de Enfermedades Neuromusculares,2525 5320,auemsetiembre2004@adinet.com.uy,,
Asociación Uruguaya de Derecho del Trabajo y de la Seguridad Social,,audtss@gmail.com,http://www.audtss.com.uy,Leonardo Slinger| Presidente| Héctor Babace| Vicepresidente
Asociación Uruguay Integrado,,contacto@uruguayintegrado.com.ar,http://www.uruguayintegrado.org,Carlos Hebert Maciel| Fabián Muñoz| Hanna Negro
Asociación Uruguaya de Comunicación Interna,,,http://www.audeci.org/,Federico Astiz| Presidente| María Inés Rocca| Secretaria| Leonardo Bacigalupi| Tesorero
Asociación Uruguaya de Egresados Terciarios de la Educación Pública,,info@audetep.org.uy,http://www.audetep.org.uy,Adriana García Quintana| Presidenta| María José Greco| Vicepresidenta| Daniella Bruno| Secretaria
Asociación Uruguaya de Dietistas y Nutricionistas,2402 5101,audyn@adinet.com.uy,http://www.audyn.org.uy,Mª Rosa Curutchet| Presidente| Virginia Puyares| Vicepresidente
Asociación Uruguaya de Ayuda al Enfermo de Mucoviscidosis,2710 3193 | 2613 3329 | 2901 9373,,,
Asociación Uruguaya de Desarrollo| Educación y Capacitación - Centro Espigas,22278088,laura.espigas@gmail.com,http://www.fundacionretonio.com/espigas.html,Laura Rossini (Contadora)| Mariela Addiego (Directora)
Asociación Uruguaya de Correctores de Estilo,,,http://Facebook: www.facebook.com/Asociaci%C3%B3n-Uruguaya-de-Correctores-de-Estilo-AUCE-498233106937030/,María del Carmen Collazo| Presidenta| Verónica Frau| Secretaria
Asociación Uruguaya de Contabilidad y Presupuesto Públicos,,info@asucyp.org.uy,http://asucyp.org.uy,Laura Remersaro| Presidente| Diana Marcos| Vicepresidente| Janet López| Secretaria General
Asociación Uruguaya de Colaboración Social,91471209,aucos@evconsultores.com.uy,,Emilio Velázquez| Mariana Rius| Mercedes Bayarres
Asociacion Uruguaya de Artistas Circenses,91086860,asociaciondecirco@gmail.com,http://www.asociaciondecirco.wordpress.com,Ignis Lois
